,l,b,age (years),distance (kpc),type_x,name,RA (hh),RA (mm),RA (ss),Dec (deg),Dec (min),type_y,semimaj_axis (arcmin),semimin_axis (arcmin),best-fit S_1GHz,1-GHz,spectral,best-fit alpha,diam,confidence,Surface brightness (W/m2/Hz/sr),err in dist,dist known,r,theta
155,8.7,-5.0,,11.931062899654176,,8.7-5.0,18,24,10,-23,48,S,26.0,26.0,0.0,4.4,0.3,0.0,26.0,0.5,9.79408490867983e-22,11.931062899654176,0.0,4.201159135821412,154.55956811046116
156,8.7,-0.1,,11.931062899654176,,8.7-0.1,18,5,30,-21,26,S?,45.0,45.0,100.56479380205431,80,0.5,0.22276906416234485,45.0,1.0,6.7086623977695605e-21,11.931062899654176,0.0,4.201159135821412,154.55956811046116
157,9.9,-0.8,,11.910822875696182,,9.9-0.8,18,10,41,-20,43,S,12.0,12.0,0.0,6.7,0.4,0.0,12.0,0.5,7.001163094758945e-21,11.910822875696182,0.0,4.258203661615136,151.2550810048146
158,11.1,-1.0,,11.888019686214369,,11.1-1.0,18,14,3,-19,46,S,18.0,12.0,6.814097583962264,5.8,0.5,0.4319633601527028,15.0,1.0,4.393699227787294e-21,11.888019686214369,0.0,4.32145669192456,148.02060686464438
159,11.1,-0.7,,11.888019686214369,,11.1-0.7,18,12,46,-19,38,S,11.0,7.0,0.0,1.0,0.7,0.0,9.0,0.5,1.9541916759939685e-21,11.888019686214369,0.0,4.32145669192456,148.02060686464438
160,11.2,-0.3,,11.88600425837089,,11.2-0.3,18,11,27,-19,25,C,4.0,4.0,20.586968498218354,22,0.5,0.5715714311400344,4.0,1.0,2.0025558279899205e-19,11.88600425837089,0.0,4.326996969029334,147.75435356360373
161,11.4,-0.1,,11.881920409183849,,11.4-0.1,18,10,47,-19,5,S?,8.0,8.0,7.095224411762222,6,0.5,0.8328410164969807,8.0,1.0,1.539433240341315e-20,11.881920409183849,0.0,4.338198634205248,147.2233931000068
162,11.8,-0.2,,11.873541044829798,,11.8-0.2,18,12,25,-18,44,S,4.0,4.0,0.0,0.7,0.3,0.0,4.0,0.5,6.583183208504681e-21,11.873541044829798,0.0,4.361080491889843,146.1677047277283
163,12.0,-0.1,,11.8692457091013,,12.0-0.1,18,12,11,-18,37,?,7?,7?,3.0228403096612615,3.5,0.7,0.8710302729817172,7.0,1.0,1.0015405900482676e-20,11.8692457091013,0.0,4.372757287682491,145.64300242077445
164,13.3,-1.3,,11.839616389868507,,13.3-1.3,18,19,20,-18,0,S?,70,40,0.0,?,?,0.0,55.0,,,11.839616389868507,0.0,4.452357099420151,142.28432157739599
165,14.1,-0.1,,11.819918000161175,,14.1-0.1,18,16,40,-16,41,S,6,5,0.0,0.5,0.6,0.0,5.5,0.5,2.5078793175255925e-21,11.819918000161175,0.0,4.504391020933438,140.26280142006442
166,15.1,-1.6,,11.793737623381448,,15.1-1.6,18,24,0,-16,34,S?,30,24,0.0,5.5?,0.0?,0.0,27.0,0.5,1.1494446871992302e-21,11.793737623381448,0.0,4.572499630490625,137.78511872145623
167,16.0,-0.5,,11.768706592784165,,16.0-0.5,18,21,56,-15,14,S,15,10,0.0,2.7,0.6,0.0,12.5,0.5,2.7085096629276408e-21,11.768706592784165,0.0,4.636544525070211,135.60216305544407
168,16.2,-2.7,,11.762956322883792,,16.2-2.7,18,29,40,-16,8,S,17,17,0.0,2.5,0.4,0.0,17.0,0.5,1.3016674658437327e-21,11.762956322883792,0.0,4.65111368877693,135.12310327487074
169,16.4,-0.5,,11.757138020260625,,16.4-0.5,18,22,38,-14,55,S,13,13,6.119662771635095,4.6,0.3?,0.4429463840489111,13.0,1.0,4.7722403353549214e-21,11.757138020260625,0.0,4.665801707374844,134.64623707134103
170,17.4,-2.3,,11.727030446068294,,17.4-2.3,18,30,55,-14,52,S,24?,24?,0.0,5,0.5?,0.0,24.0,0.5,1.3061871445445792e-21,11.727030446068294,0.0,4.740965821115699,132.29470720870006
171,17.4,-0.1,,11.727030446068294,,17.4-0.1,18,23,8,-13,46,S,6,6,0.0,0.4,0.7,0.0,6.0,0.5,1.6719195450170616e-21,11.727030446068294,0.0,4.740965821115699,132.29470720870006
172,17.8,-2.6,,11.714515679264322,,17.8-2.6,18,32,50,-14,39,S,24,24,0.0,5,0.5,0.0,24.0,0.5,1.3061871445445792e-21,11.714515679264322,0.0,4.771804941557273,131.36932907694882
